Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,sea_level_pressure_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,pressure_tendency_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,peak_wind_speed_set_1,ceiling_set_1,pressure_change_code_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,weather_condition_set_1d,weather_summary_set_1d,cloud_layer_1_set_1d,cloud_layer_2_set_1d,cloud_layer_3_set_1d,dew_point_temperature_set_1d,pressure_set_1d,sea_level_pressure_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,INHG,code,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Miles/hour,Feet,code,Fahrenheit,Fahrenheit,Degrees,Fahrenheit,code,Fahrenheit,code,code,code,code,code,Fahrenheit,INHG,INHG
PHOG,10/31/2023 20:00 HST,29.93,78.8,,74.02,0.0,0.0,,,,,,,,426.0,,,,10.0,,METAR PHOG 010600Z AUTO 00000KT 10SM FEW042 26/21 A2993,,,,,,,,,,N,,,"thin scattered",,,,69.81,29.87,29.93
PHOG,10/31/2023 20:05 HST,29.93,78.8,,74.02,0.0,0.0,,,,,,,,422.0,,,,10.0,,METAR PHOG 010605Z AUTO 00000KT 10SM SCT042 26/21 A2993,,,,,,,,,,N,,,"scattered",,,,69.81,29.87,29.93
PHOG,10/31/2023 20:10 HST,29.93,78.8,,74.02,0.0,0.0,,,,,,,,423.0,,,,10.0,,METAR PHOG 010610Z AUTO 00000KT 10SM BKN042 26/21 A2993,,,,4200.0,,,,,,N,,,"broken",,,,69.81,29.87,29.93
PHOG,10/31/2023 20:15 HST,29.93,78.8,,74.02,0.0,0.0,,,,,,,,443.0,,,,10.0,,METAR PHOG 010615Z AUTO 00000KT 10SM BKN044 26/21 A2993,,,,4400.0,,,,,,N,,,"broken",,,,69.81,29.87,29.93
PHOG,10/31/2023 20:20 HST,29.93,78.8,,74.02,0.0,0.0,,,,,,,,443.0,,,,10.0,,METAR PHOG 010620Z AUTO 00000KT 10SM BKN044 26/21 A2993,,,,4400.0,,,,,,N,,,"broken",,,,69.81,29.87,29.93
PHOG,10/31/2023 20:25 HST,29.93,78.8,,74.02,0.0,0.0,,,,,,,,443.0,,,,10.0,,METAR PHOG 010625Z AUTO 00000KT 10SM BKN044 26/21 A2993,,,,4400.0,,,,,,N,,,"broken",,,,69.81,29.87,29.93
PHOG,10/31/2023 20:30 HST,29.93,78.8,,74.02,0.0,0.0,,,,,,,,443.0,,,,10.0,,METAR PHOG 010630Z AUTO 00000KT 10SM BKN044 26/21 A2993,,,,4400.0,,,,,,N,,,"broken",,,,69.81,29.87,29.93
PHOG,10/31/2023 20:35 HST,29.93,78.8,,74.02,0.0,0.0,,,,,,,,442.0,,,,10.0,,METAR PHOG 010635Z AUTO 00000KT 10SM SCT044 26/21 A2993,,,,,,,,,,N,,,"scattered",,,,69.81,29.87,29.93
PHOG,10/31/2023 20:40 HST,29.94,78.8,,74.02,0.0,0.0,,,,,,,,442.0,,,,10.0,,METAR PHOG 010640Z AUTO 00000KT 10SM SCT044 26/21 A2994,,,,,,,,,,N,,,"scattered",,,,69.81,29.88,29.94
PHOG,10/31/2023 20:45 HST,29.94,78.8,,74.02,0.0,0.0,,,,,,,,456.0,,,,10.0,,METAR PHOG 010645Z AUTO 00000KT 10SM FEW045 26/21 A2994,,,,,,,,,,N,,,"thin scattered",,,,69.81,29.88,29.94
PHOG,10/31/2023 20:50 HST,29.94,78.8,,74.02,0.0,0.0,,,,,,,,456.0,,,,10.0,,METAR PHOG 010650Z AUTO 00000KT 10SM FEW045 26/21 A2994,,,,,,,,,,N,,,"thin scattered",,,,69.81,29.88,29.94
PHOG,10/31/2023 20:54 HST,29.94,78.08,69.98,74.02,0.0,0.0,,29.96,,,,,,552.0,,,,10.0,,PHOG 010654Z 00000KT 10SM SCT055 26/21 A2994 RMK AO2 SLP144  T02560211,,,,,,,,,,N,,,"scattered",,,,69.11,29.88,29.94
PHOG,10/31/2023 20:55 HST,29.94,77.0,,78.54,,,,,,,,,,1.0,,,,10.0,,METAR PHOG 010655Z AUTO 10SM CLR 25/21 A2994,,,,,,,,,,,,,"clear",,,,69.8,29.88,29.94
PHOG,10/31/2023 21:00 HST,29.94,75.2,,83.37,0.0,0.0,,,,,,,,502.0,,,,10.0,,METAR PHOG 010700Z AUTO 00000KT 10SM SCT050 24/21 A2994,,,,,,,,,,N,,,"scattered",,,,69.79,29.88,29.94
PHOG,10/31/2023 21:05 HST,29.94,75.2,,78.39,0.0,0.0,,,,,,,,502.0,,,,10.0,,METAR PHOG 010705Z AUTO 00000KT 10SM SCT050 24/20 A2994,,,,,,,,,,N,,,"scattered",,,,67.99,29.88,29.94
PHOG,10/31/2023 21:10 HST,29.94,75.2,,78.39,0.0,0.0,,,,,,,,502.0,,,,10.0,,METAR PHOG 010710Z AUTO 00000KT 10SM SCT050 24/20 A2994,,,,,,,,,,N,,,"scattered",,,,67.99,29.88,29.94
PHOG,10/31/2023 21:15 HST,29.95,75.2,,73.67,0.0,0.0,,,,,,,,502.0,,,,10.0,,METAR PHOG 010715Z AUTO 00000KT 10SM SCT050 24/19 A2995,,,,,,,,,,N,,,"scattered",,,,66.19,29.89,29.95
PHOG,10/31/2023 21:20 HST,29.95,73.4,,78.24,0.0,0.0,,,,,,,,502.0,,,,10.0,,METAR PHOG 010720Z AUTO 00000KT 10SM SCT050 23/19 A2995,,,,,,,,,,N,,,"scattered",,,,66.18,29.89,29.95
PHOG,10/31/2023 21:25 HST,29.95,73.4,,78.24,0.0,0.0,,,,,,,,502.0,,,,10.0,,METAR PHOG 010725Z AUTO 00000KT 10SM SCT050 23/19 A2995,,,,,,,,,,N,,,"scattered",,,,66.18,29.89,29.95
PHOG,10/31/2023 21:30 HST,29.95,73.4,,78.24,0.0,0.0,,,,,,,,502.0,,,,10.0,,METAR PHOG 010730Z AUTO 00000KT 10SM SCT050 23/19 A2995,,,,,,,,,,N,,,"scattered",,,,66.18,29.89,29.95
PHOG,10/31/2023 21:35 HST,29.95,73.4,,78.24,0.0,0.0,,,,,,,,502.0,,,,10.0,,METAR PHOG 010735Z AUTO 00000KT 10SM SCT050 23/19 A2995,,,,,,,,,,N,,,"scattered",,,,66.18,29.89,29.95
PHOG,10/31/2023 21:40 HST,29.95,73.4,,78.24,0.0,0.0,,,,,,,,502.0,,,,10.0,,METAR PHOG 010740Z AUTO 00000KT 10SM SCT050 23/19 A2995,,,,,,,,,,N,,,"scattered",,,,66.18,29.89,29.95
PHOG,10/31/2023 21:45 HST,29.95,73.4,,78.24,0.0,0.0,,,,,,,,502.0,,,,10.0,,METAR PHOG 010745Z AUTO 00000KT 10SM SCT050 23/19 A2995,,,,,,,,,,N,,,"scattered",,,,66.18,29.89,29.95
PHOG,10/31/2023 21:50 HST,29.95,73.4,,73.5,0.0,0.0,,,,,,,,502.0,,,,10.0,,METAR PHOG 010750Z AUTO 00000KT 10SM SCT050 23/18 A2995,,,,,,,,,,N,,,"scattered",,,,64.38,29.89,29.95
PHOG,10/31/2023 21:54 HST,29.95,73.04,64.94,73.5,0.0,0.0,,29.96,,,,,,502.0,,,,10.0,,PHOG 010754Z 00000KT 10SM SCT050 23/18 A2995 RMK AO2 SLP146 T02280183,,,,,,,,,,N,,,"scattered",,,,64.03,29.89,29.95
PHOG,10/31/2023 21:55 HST,29.95,73.4,,73.5,,,,,,,,,,1.0,,,,10.0,,METAR PHOG 010755Z AUTO 10SM CLR 23/18 A2995,,,,,,,,,,,,,"clear",,,,64.38,29.89,29.95
PHOG,10/31/2023 22:00 HST,29.95,73.4,,73.5,5.75,150.0,32.22,,,,,,,502.0,,,,10.0,,METAR PHOG 010800Z AUTO 15005G28KT 10SM SCT050 23/18 A2995,,,,,,,,,,SSE,,,"scattered",,,,64.38,29.89,29.95
PHOG,10/31/2023 22:05 HST,29.95,73.4,,73.5,5.75,150.0,32.22,,,,,,,502.0,,,,10.0,,METAR PHOG 010805Z AUTO 15005G28KT 10SM SCT050 23/18 A2995,,,,,,,,,,SSE,,,"scattered",,,,64.38,29.89,29.95
PHOG,10/31/2023 22:10 HST,29.95,73.4,,73.5,5.75,150.0,32.22,,,,,,,502.0,,,,10.0,,METAR PHOG 010810Z AUTO 15005G28KT 10SM SCT050 23/18 A2995,,,,,,,,,,SSE,,,"scattered",,,,64.38,29.89,29.95
PHOG,10/31/2023 22:15 HST,29.95,73.4,,73.5,5.75,150.0,32.22,,,,,,,502.0,,,,10.0,,METAR PHOG 010815Z AUTO 15005G28KT 10SM SCT050 23/18 A2995,,,,,,,,,,SSE,,,"scattered",,,,64.38,29.89,29.95
PHOG,10/31/2023 22:20 HST,29.95,73.4,,73.5,5.75,150.0,32.22,,,,,,,502.0,,,,10.0,,METAR PHOG 010820Z AUTO 15005G28KT 10SM SCT050 23/18 A2995,,,,,,,,,,SSE,,,"scattered",,,,64.38,29.89,29.95
